antecedents,consequents,support,confidence,lift,business_score,business_strategy,execution_priority
"APP 20W USB-C POWER ADAPTER-ITS (NEW), MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE","IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK","APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK","IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE","MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE","APP 20W USB-C POWER ADAPTER-ITS (NEW), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK","IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK","APP 20W USB-C POWER ADAPTER-ITS (NEW), MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE","MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, OPPO A3X 4/128GB OCEAN BLUE","MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
"MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK","IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE",0.012,1.0,83.33333333333333,1.0,Bundling Utama,Prioritas Tinggi
