tanggal_order,brand,nama_barang,quantity,price,cat,total_value,year,month,is_return,is_shopping_bag,cat_norm,transaction_type
2025-04-01,OPPO,OPPO RENO13 12/256GB 5G BLUE,1,8999000,Device,8999000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-01,Loops,LOP BONE CONDUCTION X17 LITE - NAVY,1,279000,ACCESSORIES + IOT,279000,2025,4,False,False,ACCESSORIES + IOT,CORE_RETAIL_TX
2025-04-01,Indosat,INDOSAT-PLATINUM 50GB 12 BLN (NS),1,950000,Operator,950000,2025,4,False,False,OPERATOR,CORE_RETAIL_TX
2025-04-02,Infinix,INFINIX HOT 50 6/256GB BLACK,1,1799000,Device,1799000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-02,IT,IT1 PLUG IT 30 W CUBE -WHT,1,299000,ACCESSORIES + IOT,299000,2025,4,False,False,ACCESSORIES + IOT,CORE_RETAIL_TX
2025-04-02,IT,IT1 TRANS SILICA CABLE C TO C BLK,1,165000,ACCESSORIES + IOT,165000,2025,4,False,False,ACCESSORIES + IOT,CORE_RETAIL_TX
2025-04-02,APPLE,IPHONE 15 PLUS 128GB BLUE,1,16499000,Device,16499000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-03,Realme,REALME C75X 8/128GB OCEANIC BLUE,1,2199000,Device,2199000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-03,XIAOMI,REDMI PAD SE 4/128GB GRAPHITE GRAY,1,1999000,Device,1999000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-03,Realme,REALME NOTE 60 4/64GB VOYAGE BLUE,1,1249000,Device,1249000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-03,Tecprotec,PR3-TECPROTEC-ADLD06-01,1,199000,Boltech,199000,2025,4,False,False,BOLTECH,CORE_RETAIL_TX
2025-04-03,TECNO,TECNO POVA 6 8/256 GREEN,1,2399000,Device,2399000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,TECNO,TECNO SPARK GO 1 4/128 WHITE,1,1199000,Device,1199000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,TECNO,TECNO SPARK GO 1 4/128 BLACK,1,1199000,Device,1199000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,SAMSUNG,SAMSUNG GALAXY A35 5G 8/256 NAVY,1,4999000,Device,4999000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,APPLE,PO IPHONE 16 PRO MAX 256GB NATURAL TITAN,1,25999000,PO,25999000,2025,4,False,False,PO,CORE_RETAIL_TX
2025-04-04,XIAOMI,REDMI PAD SE 4/128GB GRAPHITE GRAY,1,1999000,Device,1999000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,APPLE,PO IPHONE 16 PRO 128GB DESERT TITAN,1,21999000,PO,21999000,2025,4,False,False,PO,CORE_RETAIL_TX
2025-04-04,XIAOMI,REDMI NOTE 14 5G 8/256GB BLACK,1,3199000,Device,3199000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-04,Tecprotec,PR3-TECPROTEC-ADLD12-03,1,399000,Boltech,399000,2025,4,False,False,BOLTECH,CORE_RETAIL_TX
2025-04-04,Telkomsel,TSEL HALO PLUS DEVICE PLAN 100K-3M (NS),1,333000,Operator,333000,2025,4,False,False,OPERATOR,CORE_RETAIL_TX
2025-04-04,Loops,LOP EARCLIP TWS BREEZE X23 - BLACK,1,399000,ACCESSORIES + IOT,399000,2025,4,False,False,ACCESSORIES + IOT,CORE_RETAIL_TX
2025-04-05,Infinix,INFINIX HOT 50 PRO+ 8/256GB GREY,1,2599000,Device,2599000,2025,4,False,False,DEVICE,CORE_RETAIL_TX
2025-04-05,Loops,LOP CANDY SERIES CABLE A TO C-GRAPE,1,45000,ACCESSORIES + IOT,45000,2025,4,False,False,ACCESSORIES + IOT,CORE_RETAIL_TX
